FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,FSR7,FSR8,FSR9,FSR10,FSR11,FSR12,FSR13,FSR14,FSR15,FSR16,FSR17,FSR18,FSR19,FSR20,FSR21,FSR22,FSR23,FSR24,FSR25,FSR26,FSR27,FSR28,FSR29,FSR30,FSR31,FSR32,FSR33,FSR34,FSR35,FSR36,FSR37,FSR38,FSR39,FSR40,FSR41,FSR42,FSR43,FSR44,FSR45,FSR46,FSR47,FSR48,FSR49,FSR50,FSR51,FSR52,FSR53,FSR54,FSR55,FSR56,FSR57,FSR58,FSR59,FSR60,FSR61,FSR62,FSR63,FSR64
0,0.0,0.0,24.0,0.0,82.0,70.0,67.0,0.0,16.0,65.0,94.0,37.0,29.0,33.0,0.0,0.0,197.0,122.0,225.0,24.0,0.0,0.0,0.0,0.0,200.0,65.0,33.0,0.0,0.0,0.0,0.0,0.0,145.0,209.0,94.0,19.0,0.0,0.0,0.0,0.0,121.0,137.0,26.0,42.0,22.0,0.0,0.0,0.0,0.0,19.0,0.0,58.0,40.0,45.0,66.0,0.0,0.0,0.0,0.0,0.0,31.0,43.0,85.0
0,0.0,0.0,0.0,0.0,79.0,76.0,67.0,0.0,0.0,66.0,97.0,45.0,28.0,33.0,22.0,0.0,196.0,131.0,223.0,31.0,0.0,0.0,0.0,0.0,200.0,77.0,24.0,0.0,0.0,0.0,0.0,0.0,142.0,201.0,90.0,0.0,0.0,0.0,0.0,0.0,117.0,142.0,23.0,41.0,19.0,0.0,0.0,0.0,0.0,20.0,0.0,47.0,40.0,44.0,65.0,0.0,0.0,0.0,0.0,0.0,28.0,40.0,82.0
0,0.0,0.0,17.0,0.0,82.0,81.0,71.0,0.0,0.0,59.0,98.0,50.0,27.0,28.0,0.0,0.0,198.0,129.0,222.0,29.0,0.0,0.0,0.0,0.0,198.0,62.0,32.0,0.0,0.0,0.0,0.0,0.0,143.0,206.0,89.0,18.0,0.0,0.0,0.0,0.0,120.0,139.0,22.0,30.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,35.0,43.0,74.0,0.0,0.0,0.0,0.0,0.0,27.0,45.0,83.0
0,0.0,0.0,20.0,0.0,83.0,84.0,57.0,0.0,0.0,69.0,88.0,44.0,30.0,33.0,16.0,0.0,196.0,129.0,218.0,27.0,0.0,0.0,0.0,0.0,201.0,69.0,28.0,0.0,0.0,0.0,0.0,0.0,144.0,206.0,95.0,20.0,0.0,0.0,0.0,0.0,108.0,143.0,19.0,42.0,23.0,0.0,0.0,0.0,0.0,19.0,0.0,51.0,40.0,43.0,69.0,0.0,0.0,0.0,0.0,0.0,19.0,46.0,77.0
0,0.0,0.0,19.0,0.0,77.0,81.0,64.0,0.0,17.0,70.0,90.0,43.0,29.0,29.0,18.0,0.0,203.0,132.0,225.0,27.0,0.0,0.0,0.0,0.0,201.0,69.0,31.0,0.0,0.0,0.0,0.0,0.0,146.0,209.0,91.0,0.0,0.0,0.0,0.0,0.0,118.0,142.0,28.0,39.0,24.0,0.0,0.0,0.0,0.0,21.0,0.0,58.0,41.0,41.0,70.0,0.0,0.0,0.0,0.0,0.0,21.0,43.0,80.0
0,0.0,0.0,18.0,0.0,81.0,84.0,64.0,0.0,17.0,63.0,102.0,47.0,30.0,32.0,18.0,0.0,202.0,125.0,218.0,25.0,0.0,0.0,0.0,0.0,197.0,75.0,24.0,0.0,0.0,0.0,0.0,0.0,141.0,206.0,95.0,20.0,0.0,0.0,0.0,0.0,116.0,132.0,18.0,43.0,26.0,0.0,0.0,0.0,0.0,21.0,0.0,54.0,41.0,44.0,73.0,0.0,0.0,0.0,0.0,0.0,25.0,46.0,81.0
0,0.0,0.0,23.0,0.0,87.0,84.0,69.0,0.0,0.0,73.0,100.0,45.0,28.0,28.0,17.0,0.0,197.0,127.0,221.0,32.0,0.0,0.0,0.0,0.0,195.0,84.0,33.0,0.0,0.0,0.0,0.0,0.0,135.0,208.0,94.0,0.0,0.0,0.0,0.0,0.0,119.0,143.0,28.0,46.0,22.0,0.0,0.0,0.0,0.0,18.0,0.0,52.0,38.0,41.0,71.0,0.0,0.0,0.0,0.0,0.0,26.0,46.0,82.0
0,0.0,0.0,21.0,0.0,84.0,81.0,66.0,0.0,0.0,63.0,95.0,37.0,27.0,31.0,0.0,0.0,199.0,125.0,206.0,27.0,0.0,0.0,0.0,0.0,194.0,65.0,34.0,0.0,0.0,0.0,0.0,0.0,142.0,209.0,99.0,19.0,0.0,0.0,0.0,0.0,123.0,136.0,29.0,39.0,26.0,0.0,0.0,0.0,0.0,17.0,0.0,52.0,45.0,43.0,66.0,0.0,0.0,0.0,0.0,0.0,25.0,47.0,87.0
0,0.0,0.0,22.0,0.0,84.0,79.0,63.0,0.0,18.0,56.0,96.0,43.0,32.0,34.0,0.0,0.0,202.0,136.0,210.0,34.0,0.0,0.0,0.0,0.0,203.0,74.0,31.0,0.0,0.0,0.0,0.0,0.0,144.0,205.0,95.0,0.0,0.0,0.0,0.0,0.0,119.0,142.0,31.0,39.0,27.0,0.0,0.0,0.0,0.0,20.0,23.0,62.0,38.0,46.0,64.0,0.0,0.0,0.0,0.0,0.0,23.0,51.0,74.0
0,0.0,0.0,22.0,0.0,88.0,80.0,67.0,0.0,0.0,48.0,97.0,40.0,27.0,30.0,19.0,0.0,202.0,131.0,210.0,38.0,0.0,0.0,0.0,0.0,203.0,68.0,29.0,0.0,0.0,0.0,0.0,0.0,140.0,207.0,97.0,0.0,0.0,0.0,0.0,0.0,123.0,145.0,26.0,43.0,24.0,0.0,0.0,0.0,0.0,16.0,0.0,56.0,32.0,46.0,70.0,0.0,0.0,0.0,0.0,0.0,29.0,48.0,78.0
