FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,FSR7,FSR8,FSR9,FSR10,FSR11,FSR12,FSR13,FSR14,FSR15,FSR16,FSR17,FSR18,FSR19,FSR20,FSR21,FSR22,FSR23,FSR24,FSR25,FSR26,FSR27,FSR28,FSR29,FSR30,FSR31,FSR32,FSR33,FSR34,FSR35,FSR36,FSR37,FSR38,FSR39,FSR40,FSR41,FSR42,FSR43,FSR44,FSR45,FSR46,FSR47,FSR48,FSR49,FSR50,FSR51,FSR52,FSR53,FSR54,FSR55,FSR56,FSR57,FSR58,FSR59,FSR60,FSR61,FSR62,FSR63,FSR64
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,35.0,28.0,16.0,0.0,0.0,0.0,188.0,182.0,128.0,88.0,56.0,0.0,0.0,72.0,219.0,334.0,152.0,68.0,42.0,0.0,0.0,41.0,140.0,130.0,43.0,0.0,0.0,0.0,0.0,62.0,200.0,328.0,0.0,67.0,24.0,0.0,0.0,18.0,105.0,168.0,58.0,107.0,42.0,46.0,0.0,0.0,0.0,79.0,0.0,0.0,50.0,18.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,36.0,36.0,21.0,0.0,0.0,16.0,192.0,186.0,127.0,77.0,36.0,0.0,0.0,96.0,238.0,250.0,145.0,42.0,39.0,0.0,0.0,115.0,177.0,142.0,0.0,0.0,0.0,0.0,0.0,108.0,247.0,328.0,0.0,36.0,16.0,0.0,0.0,64.0,153.0,166.0,40.0,85.0,37.0,36.0,0.0,0.0,26.0,74.0,0.0,0.0,45.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,28.0,16.0,23.0,0.0,0.0,74.0,249.0,202.0,123.0,66.0,44.0,0.0,0.0,175.0,295.0,286.0,120.0,47.0,31.0,0.0,0.0,159.0,189.0,144.0,23.0,0.0,0.0,0.0,0.0,118.0,235.0,307.0,0.0,42.0,17.0,0.0,0.0,69.0,159.0,164.0,54.0,82.0,39.0,36.0,0.0,0.0,24.0,77.0,0.0,0.0,53.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,29.0,27.0,20.0,0.0,0.0,75.0,236.0,199.0,127.0,74.0,47.0,0.0,0.0,159.0,278.0,279.0,128.0,41.0,27.0,0.0,0.0,150.0,185.0,140.0,28.0,0.0,0.0,0.0,0.0,105.0,231.0,320.0,0.0,46.0,19.0,0.0,0.0,59.0,158.0,174.0,45.0,95.0,35.0,37.0,0.0,0.0,26.0,81.0,0.0,0.0,47.0,16.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,33.0,25.0,20.0,0.0,0.0,76.0,246.0,201.0,124.0,73.0,43.0,0.0,0.0,154.0,283.0,284.0,137.0,45.0,36.0,0.0,0.0,144.0,180.0,141.0,24.0,0.0,0.0,0.0,0.0,113.0,233.0,332.0,0.0,38.0,32.0,0.0,0.0,67.0,162.0,177.0,52.0,95.0,41.0,37.0,0.0,0.0,30.0,81.0,0.0,0.0,40.0,16.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,35.0,0.0,0.0,0.0,0.0,73.0,242.0,194.0,125.0,65.0,47.0,0.0,0.0,163.0,287.0,279.0,127.0,50.0,28.0,0.0,0.0,139.0,192.0,142.0,25.0,0.0,0.0,0.0,0.0,104.0,234.0,324.0,0.0,43.0,26.0,0.0,0.0,59.0,156.0,168.0,45.0,91.0,44.0,31.0,0.0,0.0,26.0,79.0,0.0,0.0,40.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,35.0,16.0,24.0,0.0,0.0,68.0,250.0,200.0,125.0,75.0,42.0,0.0,0.0,162.0,284.0,288.0,133.0,52.0,34.0,0.0,0.0,148.0,186.0,138.0,31.0,0.0,0.0,0.0,0.0,106.0,234.0,317.0,0.0,49.0,28.0,0.0,0.0,67.0,157.0,172.0,52.0,94.0,44.0,40.0,0.0,0.0,28.0,81.0,0.0,0.0,42.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,35.0,23.0,25.0,0.0,0.0,69.0,244.0,197.0,130.0,79.0,61.0,0.0,0.0,155.0,281.0,294.0,133.0,50.0,36.0,0.0,0.0,135.0,179.0,144.0,29.0,0.0,0.0,0.0,0.0,104.0,225.0,318.0,0.0,48.0,28.0,0.0,0.0,61.0,150.0,173.0,48.0,95.0,36.0,37.0,0.0,0.0,26.0,79.0,0.0,0.0,50.0,17.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,34.0,20.0,26.0,0.0,0.0,66.0,248.0,201.0,125.0,71.0,44.0,0.0,0.0,161.0,283.0,292.0,129.0,54.0,23.0,0.0,0.0,140.0,175.0,141.0,29.0,0.0,0.0,0.0,0.0,104.0,235.0,327.0,0.0,48.0,30.0,0.0,0.0,67.0,155.0,176.0,62.0,95.0,36.0,35.0,0.0,0.0,22.0,81.0,0.0,0.0,48.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,37.0,23.0,27.0,0.0,0.0,76.0,251.0,195.0,123.0,80.0,47.0,0.0,0.0,152.0,287.0,289.0,123.0,48.0,37.0,0.0,0.0,138.0,187.0,143.0,26.0,0.0,0.0,0.0,0.0,112.0,230.0,326.0,0.0,46.0,28.0,0.0,0.0,69.0,157.0,167.0,50.0,97.0,42.0,28.0,0.0,0.0,27.0,79.0,0.0,0.0,48.0,0.0,0.0
